crop_pro,strucpro,Elabel,Item,ItemLabel,Ele,Factor
C1120,AR,Common wheat and spelt,15,Wheat,31,1000
C1120,PR,Common wheat and spelt,15,Wheat,51,1000
C1130,AR,Durum wheat,15,Wheat,31,1000
C1130,PR,Durum wheat,15,Wheat,51,1000
C1150,AR,Rye,71,Rye,31,1000
C1150,PR,Rye,71,Rye,51,1000
C1155,AR,Maslin,103,Mixed grain,31,1000
C1155,PR,Maslin,103,Mixed grain,51,1000
C1160,AR,Barley,44,Barley,31,1000
C1160,PR,Barley,44,Barley,51,1000
C1180,AR,Oats,75,Oats,31,1000
C1180,PR,Oats,75,Oats,51,1000
C1185,AR,Mixed grain other than maslin,103,Mixed grain,31,1000
C1185,PR,Mixed grain other than maslin,103,Mixed grain,51,1000
C1200,AR,Grain maize,56,Maize,31,1000
C1200,PR,Grain maize,56,Maize,51,1000
C1211,AR,Sorghum,83,Sorghum,31,1000
C1211,PR,Sorghum,83,Sorghum,51,1000
C1212,AR,Triticale,97,Triticale,31,1000
C1212,PR,Triticale,97,Triticale,51,1000
C1219,AR,"Buckwheat, millet, canary seed (other cereals)",79,Millet,31,1000
C1219,AR,"Buckwheat, millet, canary seed (other cereals)",89,Buckwheat,31,1000
C1219,AR,"Buckwheat, millet, canary seed (other cereals)",101,Canary seed,31,1000
C1219,AR,"Buckwheat, millet, canary seed (other cereals)",108,Cereals n.e.s.,31,1000
C1219,PR,"Buckwheat, millet, canary seed (other cereals)",79,Millet,51,1000
C1219,PR,"Buckwheat, millet, canary seed (other cereals)",89,Buckwheat,51,1000
C1219,PR,"Buckwheat, millet, canary seed (other cereals)",101,Canary seed,51,1000
C1219,PR,"Buckwheat, millet, canary seed (other cereals)",108,Cereals n.e.s.,51,1000
C1250,AR,Rice,27,"Rice, paddy",31,1000
C1250,PR,Rice,27,"Rice, paddy",51,1000
C1311,AR,Peas other than field peas (including chick peas),191,Chick peas ,31,1000
C1311,AR,Peas other than field peas (including chick peas),195,"Cow peas, dry",31,1000
C1311,AR,Peas other than field peas (including chick peas),197,Pigeon peas,31,1000
C1311,PR,Peas other than field peas (including chick peas),191,Chick peas ,51,1000
C1311,PR,Peas other than field peas (including chick peas),195,"Cow peas, dry",51,1000
C1311,PR,Peas other than field peas (including chick peas),197,Pigeon peas,51,1000
C1320,AR,Field peas,187,"Peas, dry",31,1000
C1320,PR,Field peas,187,"Peas, dry",51,1000
C1331,AR,Kidney beans,176,"Beans, dry",31,1000
C1331,PR,Kidney beans,176,"Beans, dry",51,1000
C1335,AR,Broad and field beans - total,181,"Broad beans, dry",31,1000
C1335,PR,Broad and field beans - total,181,"Broad beans, dry",51,1000
C1341,AR,Lentils,201,Lentils,31,1000
C1341,PR,Lentils,201,Lentils,51,1000
C1342,AR,Vetches,205,Vetches,31,1000
C1342,PR,Vetches,205,Vetches,51,1000
C1343,AR,Sweet lupines,210,Lupins,31,1000
C1343,PR,Sweet lupines,210,Lupins,51,1000
C1349,AR,"Other dried pulses, n.e.c. (old)",176,"Beans, dry",31,1000
C1349,AR,"Other dried pulses, n.e.c. (old)",211,"Pulses, n.e.s.",31,1000
C1349,PR,"Other dried pulses, n.e.c. (old)",176,"Beans, dry",51,1000
C1349,PR,"Other dried pulses, n.e.c. (old)",211,"Pulses, n.e.s.",51,1000
C1360,AR,Potatoes,116,Potatoes,31,1000
C1360,PR,Potatoes,116,Potatoes,51,1000
C1370,AR,Sugar beet (excluding seed),157,Sugar beets,31,1000
C1370,PR,Sugar beet (excluding seed),157,Sugar beets,51,1000
C1381,AR,Fodder beet,647,Beets for fodder,31,1000
C1381,PR,Fodder beet,647,Beets for fodder,51,1000
C1383,AR,Fodder kale,644,Cabbage for fodder,31,1000
C1383,PR,Fodder kale,644,Cabbage for fodder,51,1000
C1384,AR,Swedes,649,Swedes for fodder,31,1000
C1384,PR,Swedes,649,Swedes for fodder,51,1000
C1385,AR,Carrots for stock feeding,648,Carrots for fodder,31,1000
C1385,PR,Carrots for stock feeding,648,Carrots for fodder,51,1000
C1386,AR,Turnips for stock feeding,646,Turnips for fodder,31,1000
C1386,PR,Turnips for stock feeding,646,Turnips for fodder,51,1000
C1390,AR,Other root crops,122,Sweet potatoes,31,1000
C1390,AR,Other root crops,125,Cassava,31,1000
C1390,AR,Other root crops,137,Yams,31,1000
C1390,AR,Other root crops,149,"Roots and tubers, n.e.c.",31,1000
C1390,PR,Other root crops,122,Sweet potatoes,51,1000
C1390,PR,Other root crops,125,Cassava,51,1000
C1390,PR,Other root crops,137,Yams,51,1000
C1390,PR,Other root crops,149,"Roots and tubers, n.e.c.",51,1000
C1430,AR,Rape,270,Rapeseed,31,1000
C1430,PR,Rape,270,Rapeseed,51,1000
C1450,AR,Sunflower seed,267,Sunflower seed,31,1000
C1450,PR,Sunflower seed,267,Sunflower seed,51,1000
C1460,AR,Oil flax,333,Linseed,31,1000
C1460,PR,Oil flax,333,Linseed,51,1000
C1470,AR,Soya bean,236,Soybeans,31,1000
C1470,PR,Soya bean,236,Soybeans,51,1000
C1480,AR,Other oil seed crops,242,"Groundnuts, in shell",31,1000
C1480,AR,Other oil seed crops,289,Sesame seed,31,1000
C1480,AR,Other oil seed crops,292,Mustard seed,31,1000
C1480,AR,Other oil seed crops,296,Poppy seed,31,1000
C1480,AR,Other oil seed crops,299,Melonseed,31,1000
C1480,AR,Other oil seed crops,336,Hempseed,31,1000
C1480,AR,Other oil seed crops,339,Oilseeds n.e.c.,31,1000
C1480,PR,Other oil seed crops,242,"Groundnuts, in shell",51,1000
C1480,PR,Other oil seed crops,289,Sesame seed,51,1000
C1480,PR,Other oil seed crops,292,Mustard seed,51,1000
C1480,PR,Other oil seed crops,296,Poppy seed,51,1000
C1480,PR,Other oil seed crops,299,Melonseed,51,1000
C1480,PR,Other oil seed crops,336,Hempseed,51,1000
C1480,PR,Other oil seed crops,339,Oilseeds n.e.c.,51,1000
C1490,AR,Cotton seed,329,Cottonseed,31,1000
C1490,PR,Cotton seed,329,Cottonseed,51,1000
C1520,AR,Fibre flax,773,"Flax, fibre & tow",31,1000
C1520,PR,Fibre flax,773,"Flax, fibre & tow",51,1000
C1530,AR,Hemp (straw),777,Hemp tow waste,31,1000
C1530,PR,Hemp (straw),777,Hemp tow waste,51,1000
C1540,AR,Cotton fibre (deseeded),767,Cotton lint,31,1000
C1540,PR,Cotton fibre (deseeded),767,Cotton lint,51,1000
C1550,AR,Tobacco,826,"Tobacco, leaves",31,1000
C1550,PR,Tobacco,826,"Tobacco, leaves",51,1000
C1560,AR,Hops,677,Hops,31,1000
C1560,PR,Hops,677,Hops,51,1000
C1571,AR,Chicory,459,Chicory roots,31,1000
C1571,PR,Chicory,459,Chicory roots,51,1000
C1572,AR,Chicory for inulin,459,Chicory roots,31,1000
C1572,PR,Chicory for inulin,459,Chicory roots,51,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",674,"Tea, n.e.s.",31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",687,Pepper,31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",689,Pimento,31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",692,Vanilla,31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",693,Cinnamon (canella),31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",698,Cloves,31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",702,"Nutmeg, mace, cardamons",31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",711,"Anise, badian, fennel",31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",720,Ginger,31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",723,Spices n.e.s.,31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",748,"Peppermint, spearmint",31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",754,"Pyrethrum, dried flowers",31,1000
C1580,AR,"Aromatic plants, medicinal and culinary plants",1293,"Crude organic materials, n.e.s.",31,1000
C1580,PR,"Aromatic plants, medicinal and culinary plants",674,"Tea, n.e.s.",51,1000
C1580,PR,"Aromatic plants, medicinal and culinary plants",687,Pepper,51,1000
C1580,PR,"Aromatic plants, medicinal and culinary plants",689,Pimento,51,1000
C1580,PR,"Aromatic plants, medicinal and culinary plants",692,Vanilla,51,1000
C1580,PR,"Aromatic plants, medicinal and culinary plants",693,Cinnamon (canella),51,1000
C1580,PR,"Aromatic plants, medicinal and culinary plants",698,Cloves,51,1000
