Group,Commodity,Production,Imports.total,Stock.change,Exports.total,Food.use,Feed.use,Seed.use,Losses,Industrial.use
Butter and ghee,butter.and.ghee,num,num,num,num,num,,,num,
Cereals,barley.and.products,num,num,num,num,num,num,num,num,num
Cereals,cereals..other.and.products,num,num,num,num,num,num,num,num,num
Cereals,maize.and.products,num,num,num,num,num,num,num,num,num
Cereals,millet.and.products,num,num,num,num,num,num,num,num,num
Cereals,oats.and.products,num,num,num,num,num,num,num,num,num
Cereals,rice.(milled.eq.).and.products,num,num,num,num,num,num,num,num,num
Cereals,rye.and.products,num,num,num,num,num,num,num,num,num
Cereals,sorghum.and.products,num,num,num,num,num,num,num,num,num
Cereals,wheat.and.products,num,num,num,num,num,num,num,num,num
Dairy and eggs,milk..excluding.butter,num,num,num,num,num,num,,num,
Dairy and eggs,eggs,num,num,num,num,num,,,num,
Fruit and nuts,apples.and.products,num,num,num,num,num,,,num,
Fruit and nuts,bananas.and.plantains,num,num,num,num,num,,,num,
Fruit and nuts,citrus.and.products,num,num,num,num,num,,,num,
Fruit and nuts,dates,num,num,num,num,num,,,num,
Fruit and nuts,fruits.and.products..other,num,num,num,num,num,,,num,
Fruit and nuts,grapes.and.products,num,num,num,num,num,,,num,
Fruit and nuts,nuts.and.products,num,num,num,num,num,,,num,
Fruit and nuts,pineapples.and.products,num,num,num,num,num,,,num,
Meat and fish,aquatic.animals..others,num,num,num,num,num,,,num,
Meat and fish,bovine.meat.and.offal,num,num,num,num,num,,,num,
Meat and fish,cephalopods,num,num,num,num,num,,,num,
Meat and fish,crustaceans,num,num,num,num,num,,,num,
Meat and fish,demersal.fish,num,num,num,num,num,,,num,
Meat and fish,freshwater.fish,num,num,num,num,num,,,num,
Meat and fish,marine.fish..other,num,num,num,num,num,,,num,
Meat and fish,meat.and.offal..other,num,num,num,num,num,,,num,
Meat and fish,molluscs,num,num,num,num,num,,,num,
Meat and fish,ovine.meat.and.offal,num,num,num,num,num,,,num,
Meat and fish,pelagic.fish,num,num,num,num,num,num,,num,
Meat and fish,pigmeat.and.offal,num,num,num,num,num,,,num,
Meat and fish,poultry.meat.and.offal,num,num,num,num,num,,,num,
Oilseeds,coconuts..including.copra,num,num,num,num,num,num,num,num,num
Oilseeds,cottonseed,num,num,num,num,num,num,num,num,num
Oilseeds,oilcrops..other,num,num,num,num,num,num,num,num,num
Oilseeds,soybeans,num,num,num,num,num,num,num,num,num
Oilseeds,sunflower.and.safflower.seed,num,num,num,num,num,num,num,num,num
Oilseeds,groundnuts,num,num,num,num,num,num,num,num,num
Oilseeds,rape.and.mustard.seed,num,num,num,num,num,num,num,num,num
Pulses,beans,num,num,num,num,num,num,num,num,
Pulses,peas,num,num,num,num,num,num,num,num,
Pulses,pulses..other,num,num,num,num,num,num,num,num,
Roots and tubers,cassava.and.products,num,num,num,num,num,num,,num,num
Roots and tubers,potatoes.and.products,num,num,num,num,num,num,num,num,
Roots and tubers,roots..other,num,num,num,num,num,num,num,num,
Roots and tubers,sweet.potatoes.and.products,num,num,num,num,num,num,num,num,
Roots and tubers,yams,num,num,num,num,num,num,num,num,
Stimulants and spices,cloves,num,num,num,num,num,,,num,
Stimulants and spices,cocoa.beans.and.products,num,num,num,num,num,,,num,
Stimulants and spices,coffee.and.products,num,num,num,num,num,,,num,
Stimulants and spices,pepper,num,num,num,num,num,,,num,
Stimulants and spices,pimento,num,num,num,num,num,,,num,
Stimulants and spices,spices..other,num,num,num,num,num,,,num,
Stimulants and spices,tea.(including.mate),num,num,num,num,num,,,num,
Sugar,honey,num,num,num,num,num,,,num,
Sugar,sugar.(raw.eq.),num,num,num,num,num,num,,num,num
Sugar,sugar.(molasses),num,num,num,num,num,num,,num,num
Vegetable oils,coconut.oil,num,num,num,num,num,,,num,num
Vegetable oils,cottonseed.oil,num,num,num,num,num,,,num,num
Vegetable oils,groundnut.oil,num,num,num,num,num,,,num,num
Vegetable oils,maize.oil,num,num,num,num,num,,,num,num
Vegetable oils,oilcrops.oil..other,num,num,num,num,num,,,num,num
Vegetable oils,olive.oil,num,num,num,num,num,,,num,num
Vegetable oils,palm.kernel.oil,num,num,num,num,num,,,num,num
Vegetable oils,palm.oil,num,num,num,num,num,,,num,num
Vegetable oils,rape.and.mustard.oil,num,num,num,num,num,,,num,num
Vegetable oils,soybean.oil,num,num,num,num,num,,,num,num
Vegetable oils,sunflower.and.safflower.oil,num,num,num,num,num,,,num,num
Vegetables (inc. melons),olives..including.preserved,num,num,num,num,num,,num,num,
Vegetables (inc. melons),onions,num,num,num,num,num,,num,num,
Vegetables (inc. melons),tomatoes.and.products,num,num,num,num,num,,,num,
Vegetables (inc. melons),vegetables.and.products..other,num,num,num,num,num,num,,num,
Vegetables (inc. melons),melons,num,num,num,num,num,,,num,
Oilseeds,palm.fruit,,,num,,,,,,num
Oilseeds,palm.kernels,num,,num,,num,num,,num,num
