"standardized_cpc_code","production","impot","stock","export","food","feed","seed","losses","industrial"
"S2511","num","num","num","num","num","num","num","num","num"
"S2512",,,,,,,,,
"S2513","num","num","num","num","num","num","num","num","num"
"S2514","num","num","num","num","num","num","num","num","num"
"S2515","num","num","num","num","num","num","num","num","num"
"S2516","num","num","num","num","num","num","num","num","num"
"S2517","num","num","num","num","num","num","num","num","num"
"S2518","num","num","num","num","num","num","num","num","num"
"S2520","num","num","num","num","num","num","num","num","num"
"S2531","num","num","num","num","num","num","num","num",
"S2532","num","num","num","num","num","num",,"num","num"
"S2533","num","num","num","num","num","num","num","num",
"S2534","num","num","num","num","num","num","num","num",
"S2535",,,,,,,,,
"S2536",,,,,,,,,
"S2537","num","num","num","num","num","num","num","num","num"
"S2541",,,,,,,,,
"S2542","num","num","num","num","num","num",,"num","num"
"S2543","num","num","num","num","num","num",,"num","num"
"S2544",,,,,,,,,
"S2546","num","num","num","num","num","num","num","num",
"S2547","num","num","num","num","num","num","num","num",
"S2549","num","num","num","num","num","num","num","num",
"S2551","num","num","num","num","num",,,"num",
"S2555","num","num","num","num","num","num","num","num","num"
"S2556","num","num","num","num","num","num","num","num","num"
"S2557","num","num","num","num","num","num","num","num","num"
"S2558","num","num","num","num","num","num","num","num","num"
"S2559","num","num","num","num","num","num","num","num","num"
"S2560","num","num","num","num","num","num","num","num","num"
"S2561",,,,,,,,,
"S2562","num",,"num",,"num","num",,"num","num"
"S2563","num","num","num","num","num",,"num","num",
"S2564",,,,,,,,,
"S2570","num","num","num","num","num",,,"num","num"
"S2571","num","num","num","num","num",,,"num","num"
"S2572","num","num","num","num","num",,,"num","num"
"S2573","num","num","num","num","num",,,"num","num"
"S2574","num","num","num","num","num",,,"num","num"
"S2575","num","num","num","num","num",,,"num","num"
"S2576","num","num","num","num","num",,,"num","num"
"S2577","num","num","num","num","num",,,"num","num"
"S2578","num","num","num","num","num",,,"num","num"
"S2579",,,,,,,,,
"S2580","num","num","num","num","num",,,"num","num"
"S2581",,,,,,,,,
"S2582","num","num","num","num","num",,,"num","num"
"S2586","num","num","num","num","num",,,"num","num"
"S2590",,,,,,,,,
"S2591",,,,,,,,,
"S2592",,,,,,,,,
"S2593",,,,,,,,,
"S2594",,,,,,,,,
"S2595",,,,,,,,,
"S2596",,,,,,,,,
"S2597",,,,,,,,,
"S2598",,,,,,,,,
"S2600",,,,,,,,,
"S2601","num","num","num","num","num",,,"num",
"S2602","num","num","num","num","num",,"num","num",
"S2605","num","num","num","num","num","num",,"num",
"S2611","num","num","num","num","num",,,"num",
"S2612","num","num","num","num","num",,,"num",
"S2613","num","num","num","num","num",,,"num",
"S2614","num","num","num","num","num",,,"num",
"S2615","num","num","num","num","num",,,"num",
"S2616",,,,,,,,,
"S2617","num","num","num","num","num",,,"num",
"S2618","num","num","num","num","num",,,"num",
"S2619","num","num","num","num","num",,,"num",
"S2620","num","num","num","num","num",,,"num",
"S2625","num","num","num","num","num",,,"num",
"S2630","num","num","num","num","num",,,"num",
"S2633","num","num","num","num","num",,,"num",
"S2635","num","num","num","num","num",,,"num",
"S2640","num","num","num","num","num",,,"num",
"S2641","num","num","num","num","num",,,"num",
"S2642",,,,,,,,,
"S2645","num","num","num","num","num",,,"num",
"S2655",,,,,,,,,
"S2656",,,,,,,,,
"S2657",,,,,,,,,
"S2658",,,,,,,,,
"S2659",,,,,,,,,
"S2661",,,,,,,,,
"S2662",,,,,,,,,
"S2663",,,,,,,,,
"S2664",,,,,,,,,
"S2665",,,,,,,,,
"S2666",,,,,,,,,
"S2667",,,,,,,,,
"S2671",,,,,,,,,
"S2672",,,,,,,,,
"S2680",,,,,,,,,
"S2681",,,,,,,,,
"S2701",,,,,,,,,
"S2701",,,,,,,,,
"S2702",,,,,,,,,
"S2703",,,,,,,,,
"S2704",,,,,,,,,
"S2705",,,,,,,,,
"S2706",,,,,,,,,
"S2731","num","num","num","num","num",,,"num",
"S2732","num","num","num","num","num",,,"num",
"S2733","num","num","num","num","num",,,"num",
"S2734","num","num","num","num","num",,,"num",
