"measuredItemCPC","description","feedClassification"
"0","Agriculture, forestry and fishery products","not for feed"
"1","Ores and minerals; electricity, gas and water","not for feed"
"2","Food products, beverages and tobacco; textiles, apparel and leather products","not for feed"
"3","Other transportable goods, except metal products, machinery and equipment","not for feed"
"01","Products of agriculture, horticulture and market gardening","not for feed"
"02","Live animals and animal products (excluding meat)/n","not for feed"
"03","Forestry and logging products","not for feed"
"04","Fish and other fishing products","not for feed"
"011","Cereals","potential feed"
"012","Vegetables","not for feed"
"013","Fruit and nuts","potential feed"
"014","Oilseeds and oleaginous fruits","potential feed"
"015","Edible roots and tubers with high starch or inulin content","potential feed"
"016","Stimulant, spice and aromatic crops","not for feed"
"017","Pulses (dried leguminous vegetables)","potential feed"
"018","Sugar crops","potential feed"
"019","Forage products, fibres, living plants, cut flowers and flower buds, unmanufactured tobacco, and natural rubber","potential feed"
"0111","Wheat","potential feed"
"0112","Maize (corn)","potential feed"
"0113","Rice","potential feed"
"0114","Sorghum","potential feed"
"0115","Barley","potential feed"
"0116","Rye","potential feed"
"0117","Oats","potential feed"
"0118","Millet","potential feed"
"0119","Other cereals","potential feed"
"01190","Other cereals","potential feed"
"01191","Triticale","potential feed"
"01192","Buckwheat","potential feed"
"01193","Fonio","potential feed"
"01194","Quinoa","potential feed"
"01195","Canary seed","potential feed"
"01199","Other cereals","potential feed"
"01199.01","Teff","potential feed"
"01199.02","Mixed grain","potential feed"
"01199.90","Other cereals n.e.","potential feed"
"0121","Leafy or stem vegetables","not for feed"
"0122","Melons","not for feed"
"0123","Fruit-bearing vegetables","not for feed"
"0124","Green leguminous vegetables","not for feed"
"0125","Root, bulb or tuberous vegetables","not for feed"
"0126","Vegetable seeds, except beet seeds","not for feed"
"0127","Mushrooms and truffles","not for feed"
"0129","Vegetables, fresh, n.e.","not for feed"
"01211","Asparagus","not for feed"
"01212","Cabbages","not for feed"
"01213","Cauliflowers and broccoli","not for feed"
"01214","Lettuce and chicory","not for feed"
"01215","Spinach","not for feed"
"01216","Artichokes","not for feed"
"01219","Other leafy or stem vegetables","not for feed"
"01219.01","Cassava leaves","not for feed"
"01219.90","Other leafy or stem vegetables n.e.","not for feed"
"01221","Watermelons","not for feed"
"01229","Cantaloupes and other melons","not for feed"
"01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","not for feed"
"01232","Cucumbers and gherkins","not for feed"
"01233","Eggplants (aubergines)","not for feed"
"01234","Tomatoes","not for feed"
"01235","Pumpkins, squash and gourds","not for feed"
"01239","Other fruit-bearing vegetables","not for feed"
"01239.01","Okra","not for feed"
"01239.90","Other fruit-bearing vegetables n.e.","not for feed"
"01241","Beans, green","not for feed"
"01242","Peas, green","not for feed"
"01243","Broad beans and horse beans, green","not for feed"
"01249","Other green leguminous vegetables","not for feed"
"01241.01","String beans","not for feed"
"01241.02","Other beans, green","not for feed"
"01251","Carrots and turnips","not for feed"
"01252","Green garlic","not for feed"
"01253","Onions","not for feed"
"01254","Leeks and other alliaceous vegetables","not for feed"
"01259","Other root, bulb and tuberous vegetables, n.e.","not for feed"
"01253.01","Onions and shallots, green","not for feed"
"01253.02","Onions and shallots, dry (excluding dehydrated)","not for feed"
"01260","Vegetable seeds, except beet seeds","not for feed"
"01270","Mushrooms and truffles","not for feed"
"01290","Vegetables, fresh, n.e.","not for feed"
"01290.01","Green corn (maize)","not for feed"
"01290.90","Other vegetables, fresh n.e.","not for feed"
"0131","Tropical and subtropical fruits","potential feed"
"0132","Citrus fruits","potential feed"
"0133","Grapes","potential feed"
"0134","Pome fruits and stone fruits","potential feed"
"0135","Berries and the fruits","potential feed"
"0136","Fruit seeds","potential feed"
"0137","Nuts (excluding wild edible nuts and groundnuts), in shell","potential feed"
"0139","Other fruits, n.e.","potential feed"
"01311","Avocados","potential feed"
"01312","Bananas","potential feed"
"01313","Plantains and others","potential feed"
"01314","Dates","potential feed"
"01315","Figs","potential feed"
"01316","Mangoes, guavas, mangosteens","potential feed"
"01317","Papayas","potential feed"
"01318","Pineapples","potential feed"
"01319","Other tropical and subtropical fruits, n.e.","potential feed"
"01312.01","Bananas Cavendish","potential feed"
"01312.02","Bananas non-Cavendish","potential feed"
"01313.01","Plantains","potential feed"
"01313.02","Cooking bananas","potential feed"
"01316.01","Mangoes","potential feed"
"01316.02","Guavas","potential feed"
"01316.03","Mangosteens","potential feed"
"01321","Pomelos and grapefruits","potential feed"
"01322","Lemons and limes","potential feed"
"01323","Oranges","potential feed"
"01324","Tangerines, mandarins, clementines","potential feed"
"01329","Other citrus fruit, n.e.","potential feed"
"01324.01","Tangerines and mandarins","potential feed"
"01324.02","Clementines","potential feed"
"01330","Grapes","potential feed"
"01341","Apples","potential feed"
"01342","Pears and quinces","potential feed"
"01343","Apricots","potential feed"
"01344","Cherries","potential feed"
"01345","Peaches and nectarines","potential feed"
"01346","Plums and sloes","potential feed"
"01349","Other pome fruits and stone fruits, n.e.","potential feed"
"01342.01","Pears","potential feed"
"01342.02","Quinces","potential feed"
"01344.01","Sour cherries","potential feed"
"01344.02","Cherries","potential feed"
"01349.10","Pome fruit n.e.","potential feed"
"01349.20","Stone fruit, n.e.","potential feed"
"01351","Currants and gooseberries","potential feed"
"01352","Kiwi fruit","potential feed"
"01353","Raspberries, blackberries, mulberries and loganberries","potential feed"
"01354","Strawberries","potential feed"
"01355","Other berries; fruits of the genus Vaccinium","potential feed"
"01356","Locust beans (carobs)","potential feed"
"01359","Other fruits n.e.","potential feed"
"01351.01","Currants","potential feed"
"01351.02","Gooseberries","potential feed"
"01353.01","Raspeberries","potential feed"
"01353.02","Blackberries, mulberries and loganberries","potential feed"
"01355.01","Blueberries","potential feed"
"01355.02","Cranberries and other fruits of the genus Vaccinium","potential feed"
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","potential feed"
"01359.01","Persimmons","potential feed"
"01359.02","Cashewapple","potential feed"
"01359.90","Other fruits, n.e.","potential feed"
"01360","Fruit seeds","potential feed"
"01371","Almonds, in shell","potential feed"
"01372","Cashew nuts, in shell","potential feed"
"01373","Chestnuts, in shell","potential feed"
"01374","Hazelnuts, in shell","potential feed"
"01375","Pistachios, in shell","potential feed"
"01376","Walnuts, in shell","potential feed"
"01377","Brazil nuts, in shell","potential feed"
"01379","Other nuts (excluding wild edible nuts and groundnuts), in shell","potential feed"
"01379.01","Areca nuts","potential feed"
"01379.02","Kola nuts","potential feed"
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","potential feed"
"01391","Locust beans (carobs)","potential feed"
"01399","Other fruits","potential feed"
"0141","Soya beans","oil seed"
"0142","Groundnuts, excluding shelled","potential feed"
"0143","Cottonseed","oil seed"
"0144","Other oilseeds","potential feed"
"0145","Olives","potential feed"
"0146","Coconuts, in shell","potential feed"
"0149","Other oleaginous fruits","potential feed"
"01422","Groundnuts in shell","oil seed"
"01441","Linseed","potential feed"
"01442","Mustard seed","potential feed"
"01443","Rapeseed or colza seed","oil seed"
"01444","Sesame seed","potential feed"
"01445","Sunflower seed","oil seed"
"01446","Safflower seed","potential feed"
"01447","Castor oil seeds","potential feed"
"01448","Poppy seed","potential feed"
"01449","Other oil seeds, n.e.","potential feed"
"01449.01","Melonseed","potential feed"
"01449.02","Hempseed","potential feed"
"01449.90","Other oil seeds, n.e.","oil seed"
"01450","Olives","potential feed"
"01460","Coconuts, in shell","potential feed"
"01491","Palm nuts and kernels","potential feed"
"01492","Copra","oil seed"
"01499","Other oleaginous fruits, n.e.","potential feed"
"01491.01","Oil palm fruit","potential feed"
"01491.02","Palm kernels","oil seed"
"01499.01","Karite Nuts (Sheanuts)","potential feed"
"01499.02","Tung Nuts","potential feed"
"01499.03","Jojoba Seeds","potential feed"
"01499.04","[Tallowtree Seeds]","potential feed"
"01499.05","[Kapok fruit]","potential feed"
"01499.06","Kapokseed in shell","potential feed"
"01499.07","Kapokseed, shelled","potential feed"
"01499.90","Other oleaginous fruits, n.e.","potential feed"
"0151","Potatoes","potential feed"
"0152","Cassava","potential feed"
"0153","Sweet potatoes","potential feed"
"0154","Yams","potential feed"
"0155","Taro","potential feed"
"0159","Other edible roots and tubers with high starch or inulin content","potential feed"
"01510","Potatoes","potential feed"
"01520","Cassava","potential feed"
"01520.01","Cassava, fresh","potential feed"
"01520.02","Cassava, dried","potential feed"
"01530","Sweet potatoes","potential feed"
"01540","Yams","potential feed"
"01550","Taro","potential feed"
"01591","Yautia","potential feed"
"01599","Other edible roots and tubers with high starch or inulin content, n.e.","potential feed"
"01599.91","Edible roots and tubers with high starch or inulin content, n.e., fresh","potential feed"
"01599.92","Edible roots and tubers with high starch or inulin content, n.e., dried","potential feed"
"0161","Coffee, green","not for feed"
"0162","Tea leaves","not for feed"
"0163","Matï¿½ leaves","not for feed"
"0164","Cocoa beans","not for feed"
"0165","Spice and aromatic crops, raw","not for feed"
"0169","Stimulant, spice and aromatic crops, n.e.","not for feed"
"01610","Coffee, green","not for feed"
"01620","tea leaves","not for feed"
"01620.01","Green tea","not for feed"
"01620.02","Black tea","not for feed"
"01630","Matï¿½ leaves","not for feed"
"01640","Cocoa beans","not for feed"
"01651","Pepper (Piper spp.), raw","not for feed"
"01652","Chillies and peppers, dry (Capsicum spp. and Pimenta spp.), raw","not for feed"
"01653","Nutmeg, mace, cardamoms, raw","not for feed"
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","not for feed"
"01655","Cinnamon (canella), raw","not for feed"
"01656","Cloves (whole stems), raw","not for feed"
"01657","Ginger, raw","not for feed"
"01658","Vanilla, raw","not for feed"
"01659","Hop cones (fresh and dried)","not for feed"
"01690","Stimulant, spice and aromatic crops, n.e.","not for feed"
"01691","Chicory roots","not for feed"
"01699","Other stimulant, spice and aromatic crops, n.e.","not for feed"
"0170","Pulses (dried leguminous vegetables)","potential feed"
"01701","Beans, dry","potential feed"
"01702","Broad beans and horse beans, dry","potential feed"
"01703","Chick peas, dry","potential feed"
"01704","Lentils, dry","potential feed"
"01705","Peas, dry","potential feed"
"01706","Cow peas, dry","potential feed"
"01707","Pigeon peas, dry","potential feed"
"01708","Bambara beans, dry","potential feed"
"01709","Pulses, n.e.","potential feed"
"01709.01","Vetches","potential feed"
"01709.02","Lupins","potential feed"
"01709.90","Pulses n.e.","potential feed"
"0180","Sugar crops","potential feed"
"01801","Sugar beet","potential feed"
"01802","Sugar cane","potential feed"
"01803","Sugar beet seeds","potential feed"
"01809","Other sugar crops n.e.","potential feed"
"0191","Forage products","potential feed"
"0192","Fibre crops","potential feed"
"0193","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes","potential feed"
"0194","Beet seeds (excluding sugar beet seeds) and seeds of forage plants","potential feed"
"0195","Natural rubber in primary forms or in plates, sheets or strip","potential feed"
"0196","Living plants; cut flowers and flower buds; flower seeds","potential feed"
"0197","Unmanufactured tobacco","potential feed"
"0199","Other raw vegetable materials, n.e.","potential feed"
"01911","Maize for forage and silage","feedOnly"
"01912","Alfalfa for forage and silage","potential feed"
"01913","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets","feedOnly"
"01919","Forage products, n.e.","potential feed"
"01919.01","Beet, Beta vulgaris for forage","potential feed"
"01919.02","Swedes (swede turnips) for forage","potential feed"
"01919.03","Hay, non leguminous","potential feed"
"01919.04","Sorghum for forage","potential feed"
"01919.05","Rye grass for forage","potential feed"
"01919.06","Grasses nes for forage","potential feed"
"01919.07","Clover for forage","potential feed"
"01919.08","Green oilseeds for silage","potential feed"
"01919.09","Legumes for silage","potential feed"
"01919.10","Cabbage for fodder","potential feed"
"01919.11","Pumpkins for fodder","potential feed"
"01919.12","Turnips for fodder","potential feed"
"01919.13","Carrots for fodder","potential feed"
"01919.14","Hay (Clover, Lucerne, et)","potential feed"
"01919.91","Other hay n.e.","potential feed"
"01919.92","Other forage products n.e.","potential feed"
"01919.93","Leaves, Tops and Vines n.e.","potential feed"
"01919.94","Vegetables, roots fodder n.e.","potential feed"
"01921","Cotton, whether or not ginned","potential feed"
"01922","Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie","potential feed"
"01929","Other fibre crops, raw, n.e.","potential feed"
"01921.01","Seed cotton, unginned","potential feed"
"01921.02","Cotton lint, ginned","potential feed"
"01922.01","Jute, raw or retted","potential feed"
"01922.02","Kenaf, and other textile bast fibres, raw or retted","potential feed"
"01929.01","Flax, raw or retted","potential feed"
"01929.02","True hemp, raw or retted","potential feed"
"01929.03","Ramie, raw","potential feed"
"01929.04","Sisal, raw","potential feed"
"01929.05","Abaca, Manila hemp, raw","potential feed"
"01929.06","Coir","potential feed"
"01929.07","Kapok fibre","potential feed"
"01929.90","Other fibre crops n.e.","potential feed"
"01929.91","Agave fibres n.e.","potential feed"
"01930","Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes","potential feed"
"01930.01","Peppermint, spearmint","potential feed"
"01930.02","Pyrethrum, dried flowers","potential feed"
"01930.03","Pyrethrum Marc","potential feed"
"01930.04","Tea nes (herbal tea)","potential feed"
"01930.90","Other plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes, n.e.","potential feed"
"01940","Beet seeds (excluding sugar beet seeds) and seeds of forage plants","potential feed"
"01950","Natural rubber in primary forms or in plates, sheets or strip","potential feed"
"01950.01","Natural rubber in primary forms","potential feed"
"01950.02","Natural rubber in other forms","potential feed"
"01961","Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn","potential feed"
"01962","Cut flowers and flower buds including bouquets, wreaths, floral baskets and similar articles","potential feed"
"01963","Flower seeds","potential feed"
"01970","Unmanufactured tobacco","potential feed"
"01990","Other raw vegetable materials, n.e.","potential feed"
"01990.01","Vegetable products, fresh or dry nes","potential feed"
"01990.90","Crude Organic Materials nes","potential feed"
"021","Live animals","not for feed"
"022","Raw milk","not for feed"
"023","Eggs of hens or other birds in shell, fresh","not for feed"
"024","Reproductive materials of animals","not for feed"
"029","Other animal products","not for feed"
"0211","Bovine animals, live","not for feed"
"0212","Other ruminants","not for feed"
"0213","Horses and other equines","not for feed"
"0214","Swine / pigs","not for feed"
"0215","Poultry","not for feed"
"0219","Other live animals","not for feed"
"02111","Cattle","not for feed"
"02112","Buffalo","not for feed"
"02119","Other bovine animals","not for feed"
"02121","Camels and camelids","not for feed"
"02122","Sheep","not for feed"
"02123","Goats","not for feed"
"02129","Other ruminants, n.e.","not for feed"
"02121.01","Camels","not for feed"
"02121.02","Other camelids","not for feed"
"02130","Horses and other equines","not for feed"
"02131","Horses","not for feed"
"02132","Asses","not for feed"
"02133","Mules and hinnies","not for feed"
"02140","Swine / pigs","not for feed"
"02151","Chickens","not for feed"
"02152","Turkeys","not for feed"
"02153","Geese","not for feed"
"02154","Ducks","not for feed"
"02155","Guinea fowls","not for feed"
"02191","Rabbits and hares","not for feed"
"02192","Other mammals","not for feed"
"02193","Ostriches and emus","not for feed"
"02194","Other birds","not for feed"
"02195","Reptiles","not for feed"
"02196","Bees","not for feed"
"02199","Other live animals, n.e.","not for feed"
"02192.01","Other rodents","not for feed"
"02192.90","Other mammals n.e.","not for feed"
"02199.10","Other live animals non food, n.e.","not for feed"
"02199.20","Other live animals, n.e.","not for feed"
"0221","Raw milk from bovine animals","not for feed"
"0229","Other raw milk","not for feed"
"02211","Raw milk of cattle","not for feed"
"02212","Raw milk of buffalo","not for feed"
"02291","Raw milk of sheep","not for feed"
"02292","Raw milk of goats","not for feed"
"02293","Raw milk of camel","not for feed"
"02299","Other raw milk n.e.","not for feed"
"0231","Hen eggs in shell, fresh","not for feed"
"0232","Eggs from other birds in shell, fresh, n.e.","not for feed"
"0233","Eggs for hatching","not for feed"
"02311","Hen eggs in shell fresh, for hatching","not for feed"
"02312","Other hen eggs in shell fresh","not for feed"
"02320","Eggs from other birds in shell, fresh, n.e.","not for feed"
"02321","Eggs from other birds in shell fresh, for hatching","not for feed"
"02322","Other eggs from other birds fresh in shell","not for feed"
"0241","Semen","not for feed"
"0242","Embryos","not for feed"
"02411","Bovine semen","not for feed"
"02419","Semen, n.e.","not for feed"
"02420","Embryos","not for feed"
"0291","Natural honey","not for feed"
"0292","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails","not for feed"
"0293","Edible products of animal origin n.e.","not for feed"
"0294","Raw animal materials used in textiles","not for feed"
"0295","Hides, skins and furskins, raw","not for feed"
"0296","Insect waxes and spermaceti, whether or not refined or coloured","not for feed"
"02910","Natural honey","not for feed"
"02920","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails","not for feed"
"02930","Edible products of animal origin n.e.","not for feed"
"02941","Shorn wool, greasy, including fleece-washed shorn wool","not for feed"
"02942","Pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair","not for feed"
"02943","Fine animal hair, not carded or combed","not for feed"
"02944","Silk-worm cocoons suitable for reeling","not for feed"
"0294A","Shorn and pulled wool, greasy, including fleece-washed shorn wool","not for feed"
"02942.01","Pulled wool, greasy, including fleece-washed pulled wool","not for feed"
"02942.02","Coarse goat hair","not for feed"
"02942.90","Other coarse animal hair","not for feed"
"02943.01","Fine goat hair","not for feed"
"02943.02","Fine hair, n.e.","not for feed"
"02951","Raw hides and skins of bovine animals","not for feed"
"02952","Raw hides and skins of equine animals","not for feed"
"02953","Raw hides and skins of sheep or lambs","not for feed"
"02954","Raw hides and skins of goats or kids","not for feed"
"02955","Raw furskins","not for feed"
"02959","Raw skins of other animals","not for feed"
"02951.01","Raw hides and skins of cattle","not for feed"
"02951.02","Raw hides and skins of calves","not for feed"
"02951.03","Raw hides and skins of buffaloes","not for feed"
"02951.04","Hides, Wet-Salted (Cattle)","not for feed"
"02951.05","Hides, Dry-Salted (Cattle)","not for feed"
"02951.06","Skins, Wet-Salted (Calves)","not for feed"
"02951.07","Skins, Dry-Salted (Calves)","not for feed"
"02951.08","Hides, Wet-Salted (Buffalo)","not for feed"
"02951.09","Hides, Dry-Salted (Buffalo)","not for feed"
"02951.91","Hides n.e., Cattle","not for feed"
"02951.92","Skins n.e., Calves","not for feed"
